SMILES,pIC50
Cc1ccc(-n2nc(-c3ccncc3)c(-c3ccc(F)cc3)c2N)cc1,6.05
CN(C)C(=O)Oc1ccc2c(=O)n(Cc3cccc(NS(N)(=O)=O)c3F)c(=O)oc2c1,6.08
O=C(Nc1ccc(Oc2ccncn2)cc1)Nc1cccc(C(F)(F)F)c1,6
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1Nc1ncnc2cnc(N(C)CCCN(C)C)nc12,8.7
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cc(C(F)(F)F)ccc4C)c3)ccnc12,5
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(N5CCN(C)CC5)nc34)c2)cc1C(F)(F)F,7.24
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(F)nc4)cc23)c1F,8
Cc1ccc(NC(=O)c2ccnc(C(C)(C)C#N)c2)cc1-c1cc(C2CCOCC2)nc(N2CCOCC2)c1,8.77
CN(C)C1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4F)c3n2)CC1,8.52
CNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,7.62
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnc(N5CCCC5)nc4)cc23)c1F,7
CC(=O)Nc1cccc(-c2cncc(Nc3cc(Cl)nc(Cl)c3)n2)c1,6.02
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn23)cc1,9.49
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(C(C)C)c23)c1,7.1
Cn1c(Nc2ccc(C(C)(C)C)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,6.89
Cc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,6
O=C(/C(=C\c1ccc(F)cc1)S(=O)(=O)Cc1ccccc1)c1ccc(Cl)cc1,5.75
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5C[C@@H](C)N[C@@H](C)C5)nc34)c2)cc1C(F)(F)F,8.7
Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6)cc4Cl)ccnc23)c1,9.49
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1nc(C(C)C)cc(N2CCOCC2)n1,8.54
CCNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ncn1,6.3
Cc1ccc(NC(=O)c2cc(C(F)(F)F)ccn2)cc1-n1cc(-c2cncc(N3CCOCC3)c2)nn1,8.05
O=C1COc2ccc(C3(O)c4ccccc4C(=O)N3c3cccc(Oc4ccccc4)c3)cc2N1,6
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(S(=O)(=O)N5CCOCC5)cc4)cc23)c1F,8
O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cccc(Cl)c4[nH]3)ccnc2N1,7.8
CC1(c2nc(-c3ccnc(NCCC#N)n3)c(-c3cccc(NS(C)(=O)=O)c3Cl)[nH]2)CC1,9
COC(=O)N[C@@H](C)CNc1nccc(-c2nc(C3CC3)[nH]c2-c2cccc(NS(C)(=O)=O)c2F)n1,9.26
O=C(c1cccc(NS(=O)(=O)c2ccccc2F)c1F)c1c[nH]c2ncncc12,5
Cc1ccc(C(=O)Nc2cc(N3CCN(CCO)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCOCC3)nc12,8.4
Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1-n1cc(-c2cncc(N3CCC3)c2)nn1,7.96
O=C(Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3c3ccc(F)cc3)cc2[nH]1)OCCCN1CCCCC1,7
O=C(c1c(F)ccc(NS(=O)(=O)c2cccc(OC(F)F)c2)c1F)c1c[nH]c2ncncc12,5
CC(F)(F)c1ccnc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,8
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(N2CCOCC2)nc(N2CCCC2=O)n1,8.89
Cc1nc(-c2cccnc2Nc2cccc3n[nH]cc23)c2c[nH]nc2n1,6
COc1cc(-c2ccc3ncnc(Nc4cccc5c4cnn5C)c3c2)ccc1O,6.4
CNC(=O)c1ccc(Sc2ccc(NC(=S)Nc3ccc(Cl)cc3)cc2)nc1,5.72
Cc1ccc(Cl)cc1N1C(=O)c2ccccc2C1(O)c1ccc2c(c1)NC(=O)CO2,7
CS(=O)(=O)Nc1cc(F)cc(-c2[nH]c(C3CC3)nc2-c2ccncn2)c1Cl,7.06
CCCS(=O)(=O)Nc1ccc(Cl)c(C(=O)Nc2cnc(NC(C)=O)nc2)c1F,5
Cn1cc(-c2ccc3[nH]ncc3c2)c(-c2ccncc2)n1,6
Cc1ccc(NC(=O)c2ccnc(C(C)(C)C#N)c2)cc1-c1ccnc(N2CCO[C@H](CO)C2)c1,8.6
Cn1cc(-c2ccc3cc(O)ccc3c2)c(-c2ccncc2)n1,7.11
COc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,8.7
CN1CCC(Oc2ccc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc2C(F)(F)F)CC1,7.72
O=C(Nc1cc(N2CCC(O)CC2)cc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1,7.63
N#Cc1ccc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)cc1C(F)(F)F,8.15
Cc1ccc(C(=O)Nc2cc(N3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CC[C@H](F)C3)nc12,8.4
O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1ccccc1F,6.75
Cn1cc(-c2ccc3c(c2)C(=O)NC3)c(-c2ccncc2)n1,7.16
COc1ccc(NC(=O)c2ccc(C(F)(F)F)c(Nc3ncnc4cnc(NCCCN5CCOCC5)nc34)c2)cc1C(F)(F)F,6.23
O=C(c1c(F)ccc(NS(=O)(=O)CC(F)(F)F)c1F)c1c[nH]c2ncncc12,5
Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCCC3)nc12,8
COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(F)cc(Cl)c3)ccc2[nH]1,7
CN1CCN(c2cc(NC(=O)c3ccc(F)c(Nc4ncnc5cnc(N6CCOCC6)nc45)c3)cc(C(F)(F)F)c2F)CC1,8.7
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cnc(OC(C)C)c(N2CCOCC2)c1,8.38
O=C1NC(=S)N(c2ccc(Br)cc2)C(=O)/C1=C\c1ccc(-c2ccccc2C(=O)O)o1,5.46
Cc1ccc(S(=O)(=O)NCCCNc2nccc(-c3[nH]c(-c4ccccc4)nc3-c3ccc(Cl)c(O)c3)n2)cc1,8.09
CNC(=O)c1ccc(Sc2cccc(NC(=S)Nc3ccc(F)c(F)c3)c2)nc1,6.31
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnc(N5CCOCC5)nc4)cc23)c1F,8
COCCNc1ncc2ncnc(Nc3cc(C(=O)Nc4cc(OCCN(C)C)cc(C(F)(F)F)c4)ccc3C)c2n1,9
CN(C)CCOc1ccc(-c2nc(-c3ccc(F)c(Cl)c3)c(-c3ccncc3)[nH]2)cc1,5
CC(C)CC1(C)OC(c2ccnc(NCCC#N)n2)=C(c2cc(Cl)cc(NS(=O)(=O)c3c(F)cccc3F)c2F)C1=O,7.54
COc1cc(/C=N/NC(=O)CN2CCN(c3ccc(F)cc3)CC2)ccc1O,4
COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccc(F)cc4)c3F)cc12,7.34
COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC,6.93
Cc1ccc(C(=O)NCc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CC[C@@H](F)C3)nc12,7.96
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,10.7
CC(C)n1nc(C#Cc2cccc3c(Nc4ccc(Cl)cc4)nccc23)c2c(N)ncnc21,7.54
